date,Open,High,Low,Close,Volume
2007-07-30,75.84999847,76.52999878,75.44000244,75.73999786,2575
2007-07-31,75.69999695,77.16999817,75.66999817,77.05000305,3513
2007-08-01,77,77.05999756,74.86000061,75.34999847,3930
2007-08-02,75.22000122,76.20999908,74.26999664,75.76000214,6180
2007-08-03,75.38999939,76,74.52999878,74.75,4387
2007-08-06,74.54000092,74.59999847,70.87000275,71.16999817,7201
2007-08-07,70.80000305,72.01000214,70.55999756,71.80000305,6775
2007-08-08,71.44000244,72.02999878,70.66000366,70.98999786,5768
2007-08-09,70.91000366,71.08000183,69.26999664,70.20999908,6232
2007-08-10,69.91000366,70.44999695,68.97000122,70.38999939,3947
2007-08-13,70.95999908,71.83000183,69.90000153,70.23000336,4088
2007-08-14,70.30999756,70.80000305,69.61000061,70.51000214,3966
2007-08-15,70.83999634,72.19999695,70.83000183,71.63999939,3664
2007-08-16,70.62000275,70.62000275,69.05000305,69.76999664,4762
2007-08-17,70.33000183,71.06999969,70.04000092,70.44000244,3279
2007-08-20,69.68000031,70.31999969,68.94000244,69.84999847,3852
2007-08-21,69.76000214,70.51000214,68.18000031,68.69000244,5588
2007-08-22,68.97000122,69.36000061,68.19000244,68.69999695,4232
2007-08-23,69.15000153,69.97000122,69.11000061,69.86000061,4087
2007-08-24,69.55000305,70.80999756,69.51999664,70.62000275,2786
2007-08-27,70.44000244,71.11000061,69.48999786,70.94999695,3128
2007-08-28,71.05000305,71.05000305,70.19999695,70.55000305,3421
2007-08-29,70.80000305,72.26000214,70.76999664,72.12999725,4245
2007-08-30,72.09999847,72.45999908,71.37999725,71.90000153,3257
2007-08-31,72.23000336,73.05999756,72.05000305,72.69000244,3257
2007-09-04,73.26000214,74.05000305,72.80000305,73.91999817,4057
2007-09-05,74.12999725,74.37999725,73.76000214,74.33999634,3139
2007-09-06,74.77999878,75.63999939,73.75,74.76999664,4852
2007-09-07,74.36000061,75.22000122,74.27999878,75.06999969,3685
2007-09-10,74.56999969,75.73999786,73.86000061,75.48000336,3082
2007-09-11,75.48999786,76.40000153,74.98999786,76.37999725,3305
2007-09-12,76.37999725,77.84999847,76.27999878,77.68000031,3294
2007-09-13,76.86000061,77.27999878,76.30000305,77.12000275,2470
2007-09-14,76.69000244,77.23999786,76.06999969,76.22000122,2912
2007-09-17,75.54000092,77.04000092,75.54000092,76.98000336,2573
2007-09-18,76.66999817,78.33000183,76.33000183,77.58999634,3427
